Name	FileName	Target
GSE55945_1	GSE55945/GSM1348933_011508_HGU133_PLUS_2.0_MS_36D6.CEL	Tumour
GSE55945_2	GSE55945/GSM1348934_110607_HGU133_PLUS_2.0_MS_36C1.CEL	Tumour
GSE55945_3	GSE55945/GSM1348935_011508_HGU133_PLUS_2.0_MS_36D7.CEL	Tumour
GSE55945_4	GSE55945/GSM1348939_092707_HGU133_PLUS_2.0_NUGEN_TEST07.CEL	Tumour
GSE55945_5	GSE55945/GSM1348940_110607_HGU133_PLUS_2.0_MS_36C8.CEL	Tumour
GSE55945_6	GSE55945/GSM1348941_110807_HGU133_PLUS_2.0_MS_36A1.CEL	Tumour
GSE55945_7	GSE55945/GSM1348942_110607_HGU133_PLUS_2.0_MS_36C2.CEL	Tumour
GSE55945_8	GSE55945/GSM1348944_011508_HGU133_PLUS_2.0_MS_36C9.CEL	Tumour
GSE55945_9	GSE55945/GSM1348945_092707_HGU133_PLUS_2.0_NUGEN_TEST05.CEL	Tumour
GSE55945_10	GSE55945/GSM1348946_110607_HGU133_PLUS_2.0_MS_36C6.CEL	Normal
GSE55945_11	GSE55945/GSM1348947_110607_HGU133_PLUS_2.0_MS_36C7.CEL	Normal
GSE55945_12	GSE55945/GSM1348949_011508_HGU133_PLUS_2.0_MS_36D3.CEL	Normal
GSE55945_13	GSE55945/GSM1348950_011508_HGU133_PLUS_2.0_MS_36D4.CEL	Normal
GSE55945_14	GSE55945/GSM1348951_011508_HGU133_PLUS_2.0_MS_36D5.CEL	Normal
GSE55945_15	GSE55945/GSM1348952_110807_HGU133_PLUS_2.0_MS_36A4.CEL	Normal
GSE55945_16	GSE55945/GSM1348953_110807_HGU133_PLUS_2.0_MS_36A5.CEL	Normal
